id;sold_price;basketball;weekday;rolling_supply_estimate;bitcoin_closing_price;ethereum_closing_price;seller;seller_feedback_score;card_listing_format_buy_it_now;active_player;card_id;card_grade
2455;26;1;Saturday;#N/A;36178.14;1233.54;pwcc_vault;7888;1;0;kelly tripucka-1987-1;9
2456;155.5;0;Monday;83903;54207.32;1781.99;jdw0906;371;0;0;ken griffey-1989-0;10
2457;43.56;1;Saturday;73844;56099.52;1919.53;comc_consignment;410281;0;0;michael jordan-1995-1;9
2458;59.99;0;Tuesday;97444;54824.12;1868.05;krazycat-nj;218;0;0;eddie murray-1978-0;7
2459;649;0;Friday;108015;57332.09;1772.1;dpsales001;7347;1;0;pete rose-1975-0;9
2460;13.5;0;Monday;105296;55907.2;1791.7;ny80-37;25;0;0;bill werle-1954-0;5
2461;6.69;0;Wednesday;91342;49705.33;1626.58;ricbill28;805;1;0;mark mcgwire-1987-0;8
2462;431;0;Monday;105296;55907.2;1791.7;pwcc_auctions;277875;0;0;fergie jenkins-1966-0;8
2463;90;1;Wednesday;57988;35547.75;1382.27;stauffer_0;22;0;1;collin sexton-2018-1;9
2464;9;0;Sunday;84615;57539.94;1935.6;drbbmx;3045;0;1;nico hoerner-2020-0;9
2465;5;1;Saturday;#N/A;36178.14;1233.54;burbanksportscards;349163;1;1;ben mclemore-2013-1;9
2466;50;0;Sunday;84615;57539.94;1935.6;sportscardsgrading;23402;1;0;gary carter-1985-0;10
2467;43.99;1;Sunday;68013;59302.32;1854.56;hitalickfarm;1002;0;0;shaquille o'neal-1992-1;9
2468;620;1;Sunday;68013;59302.32;1854.56;matmel-8139;166;0;0;kobe bryant-1996-1;8
2469;1;0;Monday;#N/A;54529.15;1691.33;superbowlauctions;83575;1;0;carlton fisk-1986-0;8
2470;0.99;0;Monday;105296;55907.2;1791.7;sjosing;137957;1;0;mark mcgwire-2020-0;9
2471;15.5;0;Monday;83528;47945.06;1779.79;pwcc_auctions;277662;0;0;jim thome-1995-0;10
2472;31;1;Thursday;76957;51679.8;1937.45;pwcc_auctions;277233;0;0;calvin natt-1986-1;8
2473;73;0;Wednesday;94117;50538.24;1575.85;probstein123;827810;0;0;lou marone-1970-0;9
2474;32.5;1;Sunday;56886;32289.38;1391.61;bampabooks;9330;1;0;patrick ewing-1988-1;9
2475;3.2;0;Wednesday;110923;58870.89;1823.45;burbanksportscards;349429;1;0;jeff bagwell-1999-0;9
2476;19.5;1;Sunday;64809;45137.77;1416.05;clareklos4;845;0;1;luka dončić-2019-1;9
2477;811;1;Monday;69067;55907.2;1791.7;vintage_card_investor;2203;0;0;kareem abdul-jabbar-1986-1;8
2478;54.1;0;Sunday;#N/A;35791.28;1230.17;lostarthighfinish;221;0;0;barry bonds-1987-0;9
2479;4897.27;0;Tuesday;88136;49199.87;1781.07;daniela9379;23345;1;1;mike trout-2011-0;9
