id;sold_price;basketball;weekday;rolling_supply_estimate;bitcoin_closing_price;ethereum_closing_price;seller;seller_feedback_score;card_listing_format_buy_it_now;active_player;card_id;card_grade
1;6;1;Tuesday;66789;46481.1;1768.04;1967dew;81445;1;1;donovan mitchell-2017-1;9
2;0.99;0;Sunday;71601;33114.36;1314.99;mowmowe-8475;1242;0;0;daisuke matsuzaka-2007-0;10
3;10.5;1;Sunday;68013;59302.32;1854.56;bestquality718;1110;0;1;coby white-2019-1;8
4;24.27;0;Monday;105296;55907.2;1791.7;probstein123;828093;0;1;ronald acuna jr.-2018-0;6
5;150.5;0;Saturday;90742;48912.38;1654.74;705gordy;3173;0;0;frank robinson-1960-0;7
6;35;1;Monday;72460;54207.32;1781.99;probstein123;827746;0;1;kawhi leonard-2018-1;10
7;25;0;Tuesday;109699;56804.9;1806.97;psagradedcards.com;28508;1;0;ray boone-1954-0;9
8;35.99;0;Thursday;77259;36926.06;1594.76;sonic20;891;1;0;duke snider-1960-0;5
9;64.99;1;Monday;69067;55907.2;1791.7;scvsportscards;5690;1;1;michael porter-2019-1;9
10;235;0;Wednesday;88949;52149.01;1848.46;bigboydsportscards3;338856;0;1;mike trout-2010-0;9
11;50;1;Tuesday;72317;56804.9;1806.97;craftydaddies;529;0;1;zion williamson-2019-1;9
12;174.99;1;Friday;67093;48927.3;1533.27;kennedcare_0;2547;1;1;luka dončić-2018-1;9
13;115;0;Saturday;86959;56099.52;1919.53;paulid;4225;1;0;kirby puckett-1985-0;9
14;5.5;0;Monday;89539;49631.24;1564.71;hoodyscollectibles;70260;0;0;mike schmidt-1978-0;7
15;20;0;Friday;#N/A;58346.65;1817.62;south.sound.sports.cards;4018;1;0;don elston-1963-0;8
16;89;0;Sunday;68158;32289.38;1391.61;devilmansports;1415;0;0;robin yount-1975-0;5
17;1475;1;Thursday;59697;30825.7;1121.57;pwcc_auctions;277404;0;1;ja morant-2019-1;9.5
18;9.25;0;Friday;67768;33005.76;1236.51;battersbox;244797;1;0;norm cash-1964-0;6
19;43.56;0;Tuesday;68132;36069.81;1377.3;thesouthpawcards;18920;0;0;kirby puckett-1992-0;10
20;30.01;1;Monday;63247;49631.24;1564.71;sportscardnerds;147;0;0;michael jordan-1997-1;8
21;179.55;1;Monday;56569;32366.39;1324.41;probstein123;827316;0;1;lebron james-2018-1;10
22;16.5;1;Sunday;68013;59302.32;1854.56;swordfish013;4890;0;0;tim duncan-1997-1;6.5
23;199.95;1;Saturday;#N/A;58313.64;1812.63;badgers2000;6330;1;1;kevin porter-2019-1;9.5
24;199.99;0;Sunday;#N/A;57523.42;1788.22;surfcitycards;23910;0;0;roberto clemente-1968-0;5.5
25;79;0;Friday;89605;55888.13;1960.16;coolcardsgallery;3324;0;0;ken griffey-1989-0;9.5
26;325;0;Thursday;89985;51679.8;1937.45;jackiduke;1201;0;0;cal ripken jr.-1999-0;8
27;1;0;Friday;92633;46339.76;1446.03;oldsportcollectibles;30154;1;0;haywood sullivan-1962-0;4
28;815;1;Tuesday;65905;48378.99;1492.61;pipen103040;491;0;0;steve nash-1996-1;10
29;328.33;1;Wednesday;57988;35547.75;1382.27;lan.3;123764;0;1;zion williamson-2019-1;9.5
30;0.99;0;Tuesday;94731;48378.99;1492.61;burbanksportscards;349317;1;0;bill russell-1973-0;5
31;299;0;Sunday;90105;51206.69;1723.15;ultrathane;114;1;1;ronald acuna jr.-2018-0;10
32;14.59;0;Tuesday;88136;49199.87;1781.07;vulcangasco;3877;0;0;ken forsch-1980-0;10
33;2.99;0;Saturday;82332;47105.52;1814.11;hooken-up;20705;1;0;tony perez-1982-0;9
34;31;1;Monday;72460;54207.32;1781.99;bighitsportscards;64433;0;1;shai gilgeous-alexander-2018-1;9
35;313;0;Thursday;111744;57858.92;1782.86;probstein123;828165;0;1;juan soto-2018-0;10
36;326;1;Sunday;60754;33114.36;1314.99;pwcc_auctions;277434;0;1;lebron james-2019-1;10
37;40;0;Monday;#N/A;36630.08;1257.28;bygone_collectibles;299;1;0;ken griffey-1991-0;10
38;399.99;0;Saturday;82332;47105.52;1814.11;sokcollectibles;428;1;0;barry bonds-1987-0;10
39;0.99;0;Saturday;86959;56099.52;1919.53;burbanksportscards;349292;1;0;eric karros-1992-0;9
40;2;0;Monday;#N/A;54529.15;1691.33;oldsportcollectibles;30174;1;0;harvey kuenn-1966-0;4
41;29995;1;Wednesday;75114;52149.01;1848.46;wes7;825;1;0;michael jordan-1986-1;9
42;1699.99;1;Monday;65248;46196.46;1746.62;freshslabs;58;1;1;kevin durant-2007-1;9.5
43;39.94;1;Thursday;75581;57858.92;1782.86;thomasfife35;61;0;0;michael jordan-1993-1;8
44;0.99;1;Saturday;68547;61243.08;1924.69;burbanksportscards;349384;1;0;darius miles-2002-1;9
45;111;1;Sunday;68013;59302.32;1854.56;pwcc_vault;8053;0;0;vince carter-1998-1;8.5
46;8499;1;Sunday;60754;33114.36;1314.99;gmsale1;639;1;0;michael jordan-1986-1;8
47;523.99;1;Wednesday;59349;30432.55;1253.19;4_sharp_corners;294321;1;0;dennis rodman-1988-1;9
48;260.03;1;Saturday;68244;46188.45;1459.97;usa_jim;228;0;0;yao ming-2003-1;#N/A
49;529.99;1;Monday;56569;32366.39;1324.41;kris101977;3824;1;0;kobe bryant-1996-1;10
50;79.95;1;Tuesday;73152;49199.87;1781.07;j-shwa;4085;1;1;lebron james-2018-1;10
51;2.84;0;Tuesday;90397;48824.43;1570.2;comc_consignment;410294;1;0;miller huggins-1961-0;5
52;28.98;1;Sunday;68013;59302.32;1854.56;kakacard2;1359;0;1;jaylen brown-2018-1;9.5
53;531.8;1;Thursday;59697;30825.7;1121.57;slabcanskc;9780;0;1;marvin bagley-2018-1;10
54;2.25;0;Thursday;67641;30825.7;1121.57;battersbox;244797;1;0;phil niekro-1969-0;3
55;149;0;Wednesday;110923;58870.89;1823.45;xann0302;2743;1;1;pete alonso-2019-0;10
56;10.59;0;Thursday;92546;47093.85;1475.7;bronyraur;965;1;1;clayton kershaw-2018-0;10
57;423;0;Sunday;#N/A;57523.42;1788.22;4_sharp_corners;294528;0;1;juan soto-2018-0;10
58;425.99;1;Friday;68177;38144.31;1718.65;vasquez_30;442;0;0;tim duncan-1997-1;10
59;675;1;Monday;63975;52246.52;1834.73;dubnation_30;529;0;1;joel embiid-2014-1;10
60;1.13;1;Friday;73016;46339.76;1446.03;burbanksportscards;349300;1;1;malik monk-2017-1;9
61;191.36;0;Tuesday;77245;35510.29;1515.19;probstein123;827410;0;0;derek jeter-1993-0;9
62;1.25;1;Monday;63247;49631.24;1564.71;gamesandcards.com;123631;1;1;andre iguodala-2004-1;9
63;19.99;0;Tuesday;74462;32569.85;1357.06;u.s.s.;1982;1;0;robin yount-1984-0;9
64;12600;0;Thursday;74749;33466.1;1332.49;pwcc_auctions;277420;0;0;willie mays-1952-0;5
65;280;1;Saturday;73844;56099.52;1919.53;pwcc_vault;8001;1;0;kobe bryant-1998-1;10
66;80;0;Monday;73246;33537.18;1369.04;christruc;1546;1;1;juan soto-2018-0;10
67;150;1;Monday;56569;32366.39;1324.41;zachclose05;1796;1;0;kobe bryant-1996-1;9
68;3.99;0;Friday;76773;38144.31;1718.65;texasleaguersports;23822;1;1;nolan arenado-2020-0;9
69;500;0;Tuesday;90397;48824.43;1570.2;visible_vibrations;7822;0;0;johnny bench-1969-0;8
70;179.99;0;Tuesday;97444;54824.12;1868.05;yyuuff;3736;1;1;manny machado-2013-0;9.5
71;29;1;Saturday;#N/A;58313.64;1812.63;kech_5594;123;0;1;jarrett culver-2019-1;9
72;28.88;1;Tuesday;63786;35510.29;1515.19;probstein123;827399;0;1;rui hachimura-2019-1;9
73;60;0;Sunday;82282;48717.29;1805.08;m3m5z8;1410;1;0;tony gwynn-1983-0;7
74;350;0;Wednesday;75047;30432.55;1253.19;fieldofwheat281;1294;1;0;ted kluszewski-1957-0;8
75;1.99;0;Friday;92633;46339.76;1446.03;jfgunnz2000;197;0;0;david ross-2016-0;10
76;620;1;Friday;#N/A;58346.65;1817.62;kelvin_ay13;161;1;0;kobe bryant-1996-1;8
77;398.42;1;Monday;72460;54207.32;1781.99;djponch;22;1;0;paul pierce-2019-1;#N/A
78;299.99;1;Tuesday;63786;35510.29;1515.19;dmccard_95;68;1;1;lebron james-2005-1;10
79;61;0;Wednesday;110923;58870.89;1823.45;pwcc_auctions;277909;0;0;derek jeter-1993-0;8
80;30;0;Friday;67768;33005.76;1236.51;bobsbaseball-26;662;1;0;frank thomas-1990-0;8
81;99.99;1;Wednesday;68673;56008.55;1799.17;dhj167;93;1;1;lamelo ball-2020-1;9
82;34.99;0;Monday;70073;32366.39;1324.41;jcisking14;13071;1;1;austin meadows-2018-0;10
83;27.5;0;Saturday;#N/A;58313.64;1812.63;tonyetrade;9826;1;0;fred baczewski-1954-0;9
84;35;0;Thursday;92546;47093.85;1475.7;pwcc_auctions;277710;0;0;jose canseco-1986-0;9
85;62;1;Tuesday;66789;46481.1;1768.04;tbower420;168;0;1;lonzo ball-2017-1;9.5
86;46;1;Tuesday;67133;54824.12;1868.05;chefma-63;412;0;1;zion williamson-2019-1;9
87;0.99;0;Tuesday;94731;48378.99;1492.61;burbanksportscards;349318;1;0;george kell-2013-0;9
88;524.99;0;Sunday;88599;45137.77;1416.05;fifty-fiftysportscards;1113;1;1;juan soto-2018-0;10
89;30;0;Wednesday;67318;35547.75;1382.27;oldsportcollectibles;30128;1;0;red schoendienst-1950-0;4
90;0.99;0;Sunday;82282;48717.29;1805.08;burbanksportscards;349269;1;1;greg allen-2018-0;9
91;19.99;1;Thursday;66580;48561.17;1541.91;alekin-62;453;1;1;michael porter-2018-1;9
92;579.95;0;Monday;105296;55907.2;1791.7;stonephotographs;1792;1;1;luis robert-2018-0;10
93;0.99;1;Wednesday;73429;58870.89;1823.45;texasleaguersports;23844;1;0;james worthy-2019-1;9
94;300;0;Monday;83528;47945.06;1779.79;danjeff2819;1831;1;1;cody bellinger-2017-0;10
95;180;1;Thursday;#N/A;39187.33;1218.45;toplinecards;904;0;1;zion williamson-2019-1;10
96;122.5;1;Thursday;#N/A;39187.33;1218.45;scitscat;30642;0;1;joel embiid-2014-1;9.5
97;599.99;0;Tuesday;109699;56804.9;1806.97;bchick1022;12893;1;1;luis robert-2020-0;10
98;4550;1;Friday;73016;46339.76;1446.03;pwcc_auctions;277712;0;1;giannis antetokounmpo-2013-1;10
99;158.08;1;Sunday;63618;51206.69;1723.15;2011louigi;387;0;1;zion williamson-2019-1;10
100;49;1;Monday;69723;47945.06;1779.79;mm2450;1460;1;0;jason kidd-1994-1;9
101;299;1;Saturday;68547;61243.08;1924.69;traba_3938;99;1;0;larry bird-1981-1;5
102;205.35;0;Saturday;89218;46188.45;1459.97;zacfromfla;911;0;0;bo jackson-1986-0;10
103;550;1;Monday;#N/A;36630.08;1257.28;libertybellbreaks;13605;1;1;malcolm brogdon-2016-1;10
104;2;1;Saturday;65689;39266.01;1677.85;toftime;3303;1;0;michael jordan-1991-1;9
105;36;0;Sunday;90105;51206.69;1723.15;dcsports87;96654;0;1;bryan reynolds-2020-0;8
106;35;0;Saturday;68181;32067.64;1230.99;mattygambs;210;0;1;jeff mcneil-2019-0;10
107;12;1;Monday;63247;49631.24;1564.71;gamesandcards.com;123631;1;0;kobe bryant-2012-1;9
108;8;0;Sunday;73919;38903.44;1614.23;4_sharp_corners;294366;0;0;randy jones-1978-0;9
109;17.5;1;Saturday;70600;47105.52;1814.11;gheng1982;310;0;0;tyson chandler-2001-1;10
110;5;0;Friday;92633;46339.76;1446.03;imkindofabigdeal25;337;0;1;max fried-2018-0;9
111;57.11;1;Sunday;64809;45137.77;1416.05;the-wharf-sportscards;1584;0;1;kawhi leonard-2019-1;9
112;45.95;0;Saturday;105482;61243.08;1924.69;eminiblinds;2621;0;0;nolan ryan-1988-0;10
113;38.6;1;Wednesday;73429;58870.89;1823.45;pc_sportscards;32636;0;1;anthony davis-2019-1;9
114;59.99;0;Tuesday;80359;46481.1;1768.04;kennedcare_0;2547;1;1;vladimir guerrero-2019-0;10
115;465;0;Tuesday;90397;48824.43;1570.2;bighitsportscards;64433;0;0;darryl strawberry-1984-0;10
116;299.99;1;Friday;73016;46339.76;1446.03;collecttoinvest;1027;1;1;jayson tatum-2017-1;10
117;260.5;1;Sunday;56886;32289.38;1391.61;philmeetscollectibles;345;0;1;zion williamson-2019-1;9.5
118;0.99;0;Monday;75023;46196.46;1746.62;burbanksportscards;349233;1;0;sammy sosa-2006-0;9
119;100;0;Wednesday;88949;52149.01;1848.46;crafts1910;3054;1;1;eloy jimenez-2019-0;10
120;1100;1;Tuesday;59474;32569.85;1357.06;jumpmanx15;61;1;0;kobe bryant-1996-1;9
121;600;1;Sunday;64809;45137.77;1416.05;fillster-23;777;1;0;kobe bryant-1996-1;#N/A
122;679.99;1;Monday;63975;52246.52;1834.73;ddomeck;2409;1;1;zion williamson-2019-1;9
123;22.5;1;Tuesday;59474;32569.85;1357.06;probstein123;827320;0;0;michael jordan-1993-1;5
124;59.99;0;Saturday;90742;48912.38;1654.74;finch21;11023;1;0;mike piazza-1992-0;9
125;93;1;Tuesday;57454;36069.81;1377.3;pwcc_auctions;277217;0;1;lebron james-2005-1;7
126;1000;1;Friday;67093;48927.3;1533.27;joeturi;35;1;1;shai gilgeous-alexander-2018-1;10
127;74.95;0;Tuesday;90397;48824.43;1570.2;legengarysports;18400;1;1;mike trout-2018-0;10
128;117.5;1;Tuesday;59474;32569.85;1357.06;allstar-cards;42096;0;1;ben simmons-2016-1;9
129;6.75;1;Saturday;61093;34269.52;1376.12;usagrippa;1598;0;1;anthony davis-2018-1;8.5
130;450;0;Tuesday;90397;48824.43;1570.2;aramsimonetti;163;1;1;mike trout-2011-0;9
131;9.4;0;Monday;73246;33537.18;1369.04;highstreetcollectibles;4969;0;1;jake odorizzi-2018-0;10
132;34.99;0;Saturday;82332;47105.52;1814.11;tedbg;2727;1;0;tim raines-1981-0;8
133;99.97;0;Monday;105296;55907.2;1791.7;bbcforu;7311;0;1;mike trout-2013-0;9.5
134;39;1;Thursday;73015;47093.85;1475.7;lizardshvacr;6618;0;1;giannis antetokounmpo-2019-1;10
135;1.05;0;Monday;105296;55907.2;1791.7;gamesandcards.com;123670;1;1;brooks raley-2013-0;9
136;43.03;1;Monday;#N/A;36630.08;1257.28;pwcc_auctions;277399;0;0;allen iverson-1998-1;10
137;1800;1;Sunday;56886;32289.38;1391.61;wesley4186;4609;0;1;jayson tatum-2017-1;10
138;21.75;0;Sunday;71601;33114.36;1314.99;4_sharp_corners;294329;0;0;earl torgeson-1956-0;7
139;45;1;Monday;#N/A;36630.08;1257.28;pwcc_auctions;277399;0;0;michael jordan-1996-1;9
140;25.5;0;Thursday;92546;47093.85;1475.7;pwcc_auctions;277711;0;1;bo bichette-2020-0;10
141;152.5;0;Monday;73246;33537.18;1369.04;probstein123;827396;0;1;fernando tatis-2019-0;10
142;81;1;Sunday;63618;51206.69;1723.15;4_sharp_corners;294445;0;0;bill walton-1978-1;9
143;1;0;Wednesday;75047;30432.55;1253.19;thesouthpawcards;18920;1;0;jake peavy-2006-0;9
144;117.5;1;Thursday;75581;57858.92;1782.86;bednarz77;10;0;1;luka dončić-2019-1;9
145;249.95;0;Thursday;85953;47909.33;1783.8;937woody_69;3375;1;1;mike trout-2011-0;8.5
146;26.05;0;Saturday;74126;39266.01;1677.85;bimper;1389;0;0;walt dropo-1952-0;5
147;8.5;0;Sunday;82282;48717.29;1805.08;4_sharp_corners;294395;0;1;nico hoerner-2020-0;10
148;202.5;0;Wednesday;75047;30432.55;1253.19;sm_126;3075;0;1;juan soto-2020-0;9
149;17.34;0;Wednesday;110923;58870.89;1823.45;dcsports87;96827;0;1;yordan álvarez-2020-0;9
150;26;0;Tuesday;90397;48824.43;1570.2;comc_consignment;410296;0;1;jo adell-2018-0;10
151;200;1;Saturday;70600;47105.52;1814.11;chasecards978;47651;1;1;stephen curry-2009-1;8
152;2.99;1;Monday;69067;55907.2;1791.7;hooken-up;20717;1;0;joe barry carroll-1981-1;9
153;210;1;Sunday;#N/A;57523.42;1788.22;mattyice1977;904;0;1;ja morant-2019-1;10
154;80;1;Thursday;59697;30825.7;1121.57;ninmichala;1425;0;1;lebron james-2019-1;10
155;301;1;Sunday;#N/A;35791.28;1230.17;trike415;145;0;1;brandon ingram-2016-1;9.5
156;124.95;1;Saturday;65689;39266.01;1677.85;nlpchemist;3886;1;0;allen iverson-1996-1;9
157;386;0;Tuesday;88136;49199.87;1781.07;tape_measure_power78;3702;0;1;clayton kershaw-2008-0;9
158;24.99;0;Saturday;82332;47105.52;1814.11;hfdstores;4711;1;0;bob gibson-1966-0;4
159;356;1;Monday;62161;33537.18;1369.04;probstein123;827387;0;1;luka dončić-2018-1;10
160;35;0;Wednesday;75047;30432.55;1253.19;bobscards702;213;1;0;carl yastrzemski-1966-0;5
161;129.99;0;Thursday;85953;47909.33;1783.8;arodrules3333;29488;1;1;jo adell-2017-0;10
162;3506;1;Monday;#N/A;54529.15;1691.33;pwcc_auctions;277952;0;1;stephen curry-2016-1;10
163;29.99;0;Monday;#N/A;36630.08;1257.28;kylegastley1990;2213;1;1;rafael devers-2018-0;9.5
164;29;0;Sunday;104575;59302.32;1854.56;highstreetcollectibles;4977;0;1;keston hiura-2020-0;10
165;132.5;0;Sunday;73919;38903.44;1614.23;tennskin;7082;0;1;fernando tatis-2019-0;10
166;81;1;Wednesday;75114;52149.01;1848.46;jameduran8;164;0;1;shai gilgeous-alexander-2018-1;10
167;125.5;0;Sunday;88599;45137.77;1416.05;philler1965;657;0;0;willie mays-1962-0;7
168;1.25;1;Monday;65248;46196.46;1746.62;burbanksportscards;349229;1;1;danilo gallinari-2015-1;9
169;42.99;0;Monday;89539;49631.24;1564.71;rlac1607;8085;1;0;derek jeter-1993-0;9
170;85;1;Wednesday;57988;35547.75;1382.27;steve_novella;23791;0;1;zion williamson-2019-1;10
171;38;1;Monday;69067;55907.2;1791.7;probstein123;828078;0;1;giannis antetokounmpo-2019-1;9
172;47.95;1;Thursday;#N/A;39187.33;1218.45;cardboardcloud;2257;1;0;kareem abdul-jabbar-1980-1;9
173;399;1;Tuesday;67133;54824.12;1868.05;the10thinning;8295;1;1;stephen curry-2008-1;9
174;180;0;Monday;#N/A;54529.15;1691.33;chhus-5;63;0;0;ted simmons-1971-0;6
175;66.71;0;Thursday;92546;47093.85;1475.7;pwcc_auctions;277711;0;1;vladimir guerrero-2019-0;10
176;87;1;Sunday;70376;48717.29;1805.08;unalterednature_llc;3541;0;1;lamelo ball-2020-1;10
177;39.99;1;Saturday;73844;56099.52;1919.53;richerd213;195;1;1;ja morant-2019-1;8
178;41;1;Friday;#N/A;58346.65;1817.62;tradingbee_0;71;0;1;bam adebayo-2017-1;9
179;31.3;0;Saturday;89218;46188.45;1459.97;woodys_investments;1459;0;1;tim anderson-2020-0;#N/A
180;14.14;0;Tuesday;68132;36069.81;1377.3;courtneyprok;22233;0;0;jim davenport-1970-0;8
181;29.99;0;Monday;91588;52246.52;1834.73;surfcitycards;23906;1;1;carlos correa-2014-0;10
182;2000;1;Sunday;63618;51206.69;1723.15;mysportshunter2015;1238;0;0;john stockton-1988-1;10
183;22.5;0;Thursday;95629;48561.17;1541.91;edward110858;5481;1;0;derek jeter-1997-0;9
184;13;0;Thursday;111744;57858.92;1782.86;golfpro4;707;1;1;bradley zimmer-2014-0;9
185;14.99;0;Tuesday;80359;46481.1;1768.04;jodysvintagebaseball;8354;1;0;barry larkin-1991-0;10
186;39.99;0;Sunday;#N/A;57523.42;1788.22;rakemb50;15;1;1;mookie betts-2017-0;10
187;399.99;1;Tuesday;63786;35510.29;1515.19;feedzeke;373;1;0;pete maravich-1970-1;3.5
188;35;0;Sunday;104575;59302.32;1854.56;depete_1423;754;1;0;nolan ryan-1990-0;9
189;91.85;0;Saturday;74126;39266.01;1677.85;atlcards2;415;0;0;ed white-2020-0;10
190;78;0;Tuesday;88136;49199.87;1781.07;pwcc_auctions;277674;0;1;gleyber torres-2018-0;10
191;1349.98;1;Monday;#N/A;36630.08;1257.28;probstein123;827290;0;1;giannis antetokounmpo-2018-1;9.5
192;551;1;Friday;62922;34316.39;1382.52;chasrider;474;0;0;michael jordan-1989-1;9
193;380;1;Tuesday;57454;36069.81;1377.3;bayarea-sportscards;2206;1;1;luka dončić-2018-1;10
194;695;0;Sunday;73919;38903.44;1614.23;cooololdstuff;2734;1;0;nap lajoie-1909-0;3
195;19.99;1;Sunday;60754;33114.36;1314.99;numissports138;2137;1;0;magic johnson-1989-1;8
196;20;0;Saturday;74126;39266.01;1677.85;nag2pag;654;0;0;ralph kiner-1998-0;9
197;625;1;Tuesday;#N/A;54738.94;1678.65;tampabaysportcards;707;1;0;shaquille o'neal-1992-1;10
198;0.99;0;Tuesday;80359;46481.1;1768.04;burbanksportscards;349239;1;0;travis lee-2004-0;9
199;45;0;Sunday;#N/A;35791.28;1230.17;hobby_by_chuy;164;1;0;derek jeter-1993-0;8.5
200;129.99;0;Thursday;77259;36926.06;1594.76;peekenterprises;4164;1;1;vladimir guerrero-2019-0;10
201;818;0;Thursday;104828;57805.12;1826.19;autographs2016;746;0;0;ken griffey-1989-0;9.5
202;12.5;0;Tuesday;74462;32569.85;1357.06;probstein123;827324;0;0;pete rose-1985-0;8
203;499;0;Tuesday;90397;48824.43;1570.2;sportscards777;2576;1;0;honus wagner-1948-0;3
204;11.99;0;Saturday;74126;39266.01;1677.85;hornblendlifeofsmiles;578;0;0;chris chambliss-1975-0;8
205;9.99;1;Sunday;#N/A;57523.42;1788.22;yourcomicbookshop;4173;0;1;aaron nesmith-2020-1;8
206;400;1;Thursday;59697;30825.7;1121.57;joshkidw_cards;127;1;1;jayson tatum-2017-1;10
207;49.99;0;Friday;92633;46339.76;1446.03;sportschampioncards;24886;1;1;corey seager-2016-0;10
208;155.38;0;Saturday;90742;48912.38;1654.74;fmgametime;48772;0;1;shohei ohtani-2018-0;10
209;48;0;Saturday;#N/A;36178.14;1233.54;fireball63;4791;1;0;don drysdale-1963-0;4.5
210;65.89;0;Sunday;68158;32289.38;1391.61;slabcanskc;9780;0;1;juan soto-2018-0;10
211;1.4;0;Tuesday;90397;48824.43;1570.2;comc_consignment;410294;1;0;royce lint-1955-0;1.5
212;124.5;1;Wednesday;67196;50538.24;1575.85;probstein123;827806;0;1;lebron james-2019-1;10
213;140;0;Thursday;92546;47093.85;1475.7;8yearstogo;1174;1;0;emil batch-1911-0;4.5
214;0.99;0;Tuesday;68132;36069.81;1377.3;burbanksportscards;349165;1;1;trevor bauer-2012-0;9
215;57;1;Sunday;#N/A;57523.42;1788.22;4_sharp_corners;294241;0;0;ralph sampson-1986-1;8
216;456;0;Sunday;84615;57539.94;1935.6;4_sharp_corners;294415;0;1;luis robert-2020-0;10
217;29.95;1;Thursday;76957;51679.8;1937.45;nba.basketball;1239;1;0;kevin garnett-1995-1;5
218;14.99;0;Monday;89539;49631.24;1564.71;coolestdudeintheworld;4277;1;0;barry bonds-1987-0;7.5
219;76;0;Thursday;74749;33466.1;1332.49;pwcc_auctions;277422;0;0;rickey henderson-1982-0;9
220;31;1;Sunday;70376;48717.29;1805.08;pwcc_vault;7975;0;1;ja morant-2019-1;10
221;43.99;1;Tuesday;66789;46481.1;1768.04;jaczar-83;176;0;1;trae young-2019-1;10
222;310.22;1;Thursday;60992;33466.1;1332.49;probstein123;827329;0;0;clyde drexler-1986-1;9
223;60;0;Monday;105296;55907.2;1791.7;atruerealbadass_9;2257;1;0;ken griffey-2017-0;10
224;15.99;0;Wednesday;101089;56008.55;1799.17;gregorphillip-2;2455;0;1;nolan arenado-2013-0;8.5
225;830;1;Tuesday;59474;32569.85;1357.06;probstein123;827322;0;1;rj barrett-2019-1;10
226;1.25;0;Monday;#N/A;36630.08;1257.28;burbanksportscards;349165;1;0;jose canseco-2020-0;9
227;6;0;Friday;85396;47504.85;1843.53;kozmoshockeycards;27171;1;0;vladimir guerrero-1997-0;8.5
228;349.99;1;Sunday;60754;33114.36;1314.99;4_sharp_corners;294328;1;0;shaquille o'neal-1992-1;9
229;12.5;0;Sunday;82282;48717.29;1805.08;kentkollections;1807;0;1;gleyber torres-2018-0;9
230;199.99;0;Tuesday;90397;48824.43;1570.2;gradedstuff;18842;1;0;tony gwynn-1983-0;10
231;3.49;1;Monday;63247;49631.24;1564.71;burbanksportscards;349309;1;1;joe harris-2018-1;9
232;6.5;1;Sunday;64844;38903.44;1614.23;sumthingzz4every1;1146;0;1;lebron james-2003-1;10
233;1155.44;1;Monday;#N/A;54529.15;1691.33;probstein123;828204;0;1;luka dončić-2018-1;10
234;24.99;1;Wednesday;68454;44918.18;1744.24;cwstradingcards;17772;1;0;ray allen-1996-1;10
235;11.99;0;Thursday;85953;47909.33;1783.8;goatsportscollectibles;11040;1;1;keston hiura-2019-0;9
236;0.18;0;Sunday;90105;51206.69;1723.15;oakgrovebargainbarn;140;0;0;frank bolick-1993-0;9
237;20.65;0;Tuesday;#N/A;54738.94;1678.65;andystoybarn;440;1;0;mickey mantle-2011-0;10
238;20.5;0;Saturday;#N/A;58313.64;1812.63;discusth-3;319;0;1;justin verlander-2006-0;10
239;1050;1;Sunday;#N/A;35791.28;1230.17;bbcemporium;16761;1;0;bill russell-1961-1;6
240;3995.99;1;Monday;72460;54207.32;1781.99;ib_executive;189;1;0;kobe bryant-1996-1;10
241;698.89;1;Monday;62161;33537.18;1369.04;probstein123;827387;0;1;stephen curry-2019-1;10
242;22.95;1;Monday;63247;49631.24;1564.71;lake-city-depot;1593;1;1;jaxson hayes-2019-1;10
243;59.99;1;Friday;71270;57332.09;1772.1;toystodd;21307;1;1;kawhi leonard-2019-1;9
244;1.25;0;Sunday;73919;38903.44;1614.23;tntnorthnj;426393;0;0;darin erstad-2001-0;#N/A
245;97;1;Wednesday;72852;49705.33;1626.58;most-and-watson-rips;23;0;1;ja morant-2019-1;9
246;449.95;1;Wednesday;68454;44918.18;1744.24;bigmac1960;16381;1;0;earl monroe-1969-1;7
247;114.99;1;Tuesday;66789;46481.1;1768.04;cm9er;565;1;1;trae young-2018-1;9
248;58;1;Tuesday;67133;54824.12;1868.05;probstein123;827926;0;1;shai gilgeous-alexander-2018-1;10
249;19.08;0;Monday;83528;47945.06;1779.79;pwcc_auctions;277658;0;0;don mattingly-1985-0;9
250;59.99;0;Wednesday;91342;49705.33;1626.58;pnwseller95;404;1;1;yordan álvarez-2020-0;10
251;100;1;Sunday;73250;57539.94;1935.6;juledoma;419;0;1;kevin porter-2019-1;9.5
252;495;0;Saturday;89218;46188.45;1459.97;tb0906811;1420;1;1;corey seager-2012-0;10
253;69.99;1;Friday;61467;33005.76;1236.51;mc_sportscards;17345;1;1;giannis antetokounmpo-2019-1;10
254;54;0;Thursday;92546;47093.85;1475.7;pwcc_auctions;277710;0;0;ken singleton-1972-0;9
255;26;0;Sunday;84615;57539.94;1935.6;karmascards;1435;0;0;cal ripken jr.-1996-0;10
256;19.39;0;Sunday;84615;57539.94;1935.6;4_sharp_corners;294415;0;1;luis robert-2020-0;10
257;12;0;Saturday;#N/A;36178.14;1233.54;www.707sportscards.com;28096;1;0;jim bibby-1975-0;8.5
258;1450;1;Thursday;69816;47909.33;1783.8;ronsstamp1;17776;1;0;kobe bryant-1996-1;10
259;95;1;Saturday;58814;32067.64;1230.99;boston-cardz;181;0;1;lebron james-2008-1;8
260;95;1;Saturday;65115;48912.38;1654.74;lthotshoe;2753;1;0;scottie pippen-1999-1;9
261;345;1;Sunday;#N/A;35791.28;1230.17;pc_sportscards;32480;0;1;ja morant-2019-1;9
